"yearCombine","Player","Position","Height","Weight","Wingspan","Standing Reach","Lane Agiity","Body Fat %"
2014,"Allen Crabbe","SG",77.25,197.4,83.25,103.5,10.67,4.65
2014,"Seth Curry","SG",73,179.2,76,97.5,NA,9.6
2014,"Brandon Davies","PF",80.5,241.8,85.5,108.5,11.22,8.6
2014,"Dewayne Dedmon","C",82,238.8,88,109,12.75,8.35
2014,"Gorgui Dieng","C",81.75,229.6,87.5,111.5,NA,5.35
2014,"James Ennis","SF",77.75,200.8,83.5,104.5,11.55,4.5
2014,"Carrick Felix","SF",76.75,202.6,81.25,103.5,11.16,3.3
2014,"Jamaal Franklin","SG",76,190.8,83.25,103.5,NA,8.25
2014,"Rudy Gobert","C",84.5,237.6,92.5,115,12.85,4.4
2014,"Archie Goodwin","SG",75.75,189,81.5,102,10.75,4.55
2014,"Erick Green","PG",73.5,178.2,77.75,98,NA,4.35
2014,"Tim Hardaway Jr.","SG",76.5,199.4,79,101,10.68,6.05
2014,"Solomon Hill","SF",77.5,226,81,103,10.77,7.6
2014,"Richard Howell","PF",78.25,249.6,82.25,105.5,NA,8.75
2014,"Colton Iverson","C",82.5,262.8,86,110,11.52,9.6
2014,"Pierre Jackson","PG",69.5,176,70,90,NA,4.5
2014,"Grant Jerrett","PF",80.75,232,86,109,11.85,10.05
2014,"Myck Kabongo","PG",73.25,180.4,78.25,98,10.64,6
2014,"Kenny Kadji","PF",80.75,241.6,87,106.5,11.47,7.45
2014,"Ryan Kelly","PF",81.75,228,83.5,110,NA,14.75
2014,"Shane Larkin","PG",70.25,170.8,70.75,89.5,10.64,3.8
2014,"Ricky Ledo","SG",76.75,197.2,79.25,102.5,10.72,10.25
2014,"Alex Len","C",NA,NA,87.5,NA,NA,6.4
2014,"CJ Leslie","PF",79.5,209.2,86.25,104.5,10.19,7.95
2014,"Trevor Mbakwe","PF",78.75,235.8,88,106.5,12.01,5.9
2014,"Ray McCallum","PG",72.25,191.4,75.25,96.5,10.82,7.3
2014,"CJ McCollum","PG",74.25,197,78.25,96.5,11.02,8.6
2014,"Ben McLemore","SG",75.5,189.2,79.75,100.5,11.87,5
2014,"Tony Mitchell","PF",79.5,236.4,86.5,106.5,11.82,5.55
2014,"Shabazz Muhammad","SF",76.75,221.8,83,104.5,10.99,9
2014,"Erik Murphy","PF",80.75,239.8,82.5,108,12.19,7.95
2014,"Mike Muscala","C",82.25,230.2,85,108,11.76,6.8
2014,"Nerlens Noel","C",82,206.4,87.75,110,NA,4.15
2014,"Victor Oladipo","SG",75.25,213.2,81.25,100.5,10.69,6.55
2014,"Kelly Olynyk","PF",82.75,234,81.75,108,11.42,6.65
2014,"Brandon Paul","SG",74.75,201,82.25,98,11.16,5.25
2014,"Norvel Pelle","PF",81.5,207.2,86.5,109,11.49,5.15
2014,"Mason Plumlee","C",83.25,238.2,83,108,10.89,6.15
2014,"Otto Porter","SF",79.5,197.6,85.5,105.5,11.25,6.65
2014,"Phil Pressey","PG",69.5,177,74.25,92,10.86,4.7
2014,"Glen Rice","SF",76.5,210.8,81.25,101.5,10.99,8.45
2014,"Andre Roberson","PF",78.25,205.8,83,104.5,11.36,7.05
2014,"Dennis Schroder","PG",73,164.8,79.75,98,11.09,4.1
2014,"Peyton Siva","PG",71.5,180.6,75,93,10.59,6.05
2014,"Tony Snell","SF",78,198.2,83.5,105.5,11.36,4.85
2014,"James Southerland","SF",79,220.6,85,106,10.9,8.05
2014,"Adonis Thomas","SF",76.75,231.8,85,99,11.64,7.5
2014,"Deshaun Thomas","SF",77,219.8,82,104,12.94,9.1
2014,"Jeff Withey","C",82.75,221.8,86,110.5,12.49,8.65
2014,"Nate Wolters","PG",75.5,196.4,75.75,98,NA,5.5
2014,"BJ Young","SG",74.25,178.8,80.25,99,NA,4.7
2014,"Cody Zeller","C",82.75,230,82.75,106,10.82,4.75
2015,"Jordan Adams","SG",75.5,208.8,82,102,12.13,10.8
2015,"Kyle Anderson","SF",79.5,230.1,86.75,107.5,NA,13.35
2015,"Thanasis Antetokounmpo","SF",77.25,205.2,84,104.5,11.39,6.05
2015,"Jordan Bachynski","PF",85.25,254.1,88,108.5,12.15,7.45
2015,"Cameron Bairstow","PF",80.75,252.4,84.75,107,11.39,8.7
2015,"Khem Birch","PF",79.5,208.8,85,107,11.6,6
2015,"Alec Brown","PF",84.25,231.2,85.5,109,12.05,7.7
2015,"Markel Brown","SG",74.5,184.4,80.75,100,12.62,4.2
2015,"Jabari Brown","SG",75,201.9,80.25,100,11.6,6.05
2015,"Deonte Burton","PG",72,192.8,79,97.5,11.28,7.65
2015,"Semaj Christon","PG",73.5,186,78.5,99,11.55,5.25
2015,"Jordan Clarkson","PG",75.25,186.3,80,98,10.76,4.3
2015,"Aaron Craft","PG",72.75,191.6,74,94.5,10.78,6.1
2015,"DeAndre Daniels","SF",79.25,196,86,106.5,11.46,3.85
2015,"Spencer Dinwiddie","PG",76.5,204.9,80.25,103,NA,5.35
2015,"Cleanthony Early","SF",78,209.4,82.75,101.5,11.15,4.45
2015,"Melvin Ejim","SF",77.25,218.5,83.25,103.5,11.55,6.45
2015,"Tyler Ennis","PG",73,181.5,79.25,98,11.12,6.2
2015,"Dante Exum","SG",76.5,196.3,81.5,103,10.75,6.4
2015,"C.J. Fair","SF",78.5,218.1,81.5,104,11,5.05
2015,"Aaron Gordon","PF",79.5,220.1,83.75,105,10.81,5.05
2015,"Jerami Grant","SF",78.5,214,86.75,107,NA,3.75
2015,"P.J. Hairston","SG",76.25,228.8,81,101,11.12,8.2
2015,"Gary Harris","SG",74.5,204.8,78.75,96,NA,4.55
2015,"Joe Harris","SG",76.75,215,78,100,11.11,6.2
2015,"Rodney Hood","SF",79.25,208.2,80.5,103,11.21,7.45
2015,"Cory Jefferson","PF",79.75,218.4,84.5,105,12.63,5.25
2015,"Nick Johnson","SG",73.5,198,79.25,96.5,10.8,6.05
2015,"Sean Kilpatrick","SG",74.5,218.7,79,99,NA,9.2
2015,"Alex Kirk","PF",81.25,252,87.5,109.5,11.2,13.6
2015,"Zach LaVine","PG",76.5,180.9,80.25,100,10.42,4.7
2015,"Devyn Marble","SG",77,192.4,81,102,11.32,6.9
2015,"James McAdoo","PF",79.5,227.6,86.25,106.5,11.61,6.15
2015,"K.J. McDaniels","SF",76.5,195.6,83.25,102,12.71,4.45
2015,"Doug McDermott","SF",78.25,218,81.25,103,11.1,7.1
2015,"Jordan McRae","SG",75.75,179.4,84.5,104,11.07,5.2
2015,"Shabazz Napier","PG",71,175.2,75.25,93,11.6,7.35
2015,"Johnny O?Bryant III","PF",79.25,256.8,86.25,105,11.57,10.75
2015,"Lamar Patterson","SG",76,226,83,101,11.63,10.75
2015,"Adreian Payne","PF",81,238.5,88,109,NA,7.55
2015,"Elfrid Payton","PG",74.5,185.4,80,98.5,11.06,5.65
2015,"Dwight Powell","PF",81.5,234.4,84.5,105,11.28,6.2
2015,"Julius Randle","PF",79.75,249.7,84,105.5,11.45,9.4
2015,"Glenn Robinson III","SF",77.5,211.4,82,100.5,11.22,5.05
2015,"LaQuinton Ross","SF",78.5,238.7,85.75,106,11.97,16.3
2015,"Marcus Smart","PG",74,227.2,81.25,99,10.82,10.55
2015,"Russ Smith","PG",71.5,160,75.5,95,11.57,3.5
2015,"Nik Stauskas","SG",77.25,206.9,79.75,102,10.79,12.05
2015,"Jarnell Stokes","PF",79,262.8,85.25,103.5,11.92,8.2
2015,"Xavier Thames","PG",74.25,187,76,96,11.48,6.4
2015,"Noah Vonleh","PF",80,247.1,88.25,108,11.45,7.3
2015,"T.J. Warren","SF",79,220.2,82.25,104,11.1,7.95
2015,"C.J. Wilcox","SG",75.5,201,81.75,100.5,11.3,6.5
2015,"Kendall Williams","PG",74.25,183,77.5,99,10.83,7.2
2015,"Patric Young","PF",80.5,246.8,85.75,103.5,11.18,5.45
2015,"James Young","SG",77.25,213.3,84,104,NA,5.1
2016,"Cliff Alexander","PF",79.25,239.2,87.5,109.5,NA,5.8
2016,"Justin Anderson","SF",77.25,230.6,83.75,101,11.13,5
2016,"Brandon Ashley","PF",79.25,228,87.75,105,11.21,8.8
2016,"Ryan Boatright","PG",70,169.6,72.5,92.5,10.71,6.6
2016,"Devin Booker","SG",76.5,205.8,80.25,102.5,10.27,8.3
2016,"Anthony Brown","SF",77.75,211,83,104.5,10.94,6.1
2016,"Willie Cauley-Stein","C",83.25,242.4,87,111,NA,6.3
2016,"Rakeem Christmas","PF",80.25,242.6,89.25,110.5,11.6,9.6
2016,"Pat Connaughton","SG",76,215,80,96,10.58,10.2
2016,"Quinn Cook","PG",72.25,179,76,96.5,11.44,6.7
2016,"Branden Dawson","PF",77.5,230.2,83,105,12.22,5.8
2016,"Sam Dekker","SF",79.75,218.6,83.5,106,10.64,7.5
2016,"Michael Frazier II","SG",75.75,199.4,80,101.5,10.66,7.4
2016,"Treveon Graham","SF",76,219.4,82.5,103,11.64,5.5
2016,"Jerian Grant","PG",75.25,198,79.5,100,NA,5.6
2016,"Olivier Hanlan","PG",75.25,185.8,78,100,11.41,4.3
2016,"Montrezl Harrell","PF",79,253.4,88.25,109,NA,11.9
2016,"Andrew Harrison","PG",76.5,213.2,81,100,11.2,5.9
2016,"Aaron Harrison","SG",76.5,209.2,80.25,100.5,NA,6
2016,"Tyler Harvey","SG",74.75,181.4,77.5,98.5,10.56,9.2
2016,"Corey Hawkins","SG",72.75,191.8,80,99.5,10.81,5.5
2016,"Rondae Hollis-Jefferson","SF",77.5,210.8,86,104,10.41,5
2016,"Richaun Holmes","PF",80.25,242.8,85.5,108,11.24,8.8
2016,"Jonathan Holmes","PF",80.25,242.2,83.5,107.5,10.95,7.2
2016,"R.J. Hunter","SG",76.5,185,82.5,104,10.87,6
2016,"Vince Hunter","PF",78.75,208.4,83,104.5,11.19,4.6
2016,"Dakari Johnson","C",83,264.6,86,112,11.76,14.9
2016,"Stanley Johnson","SF",77,241.8,83.5,102,NA,7.5
2016,"Tyus Jones","PG",72.5,184.6,77,97,11.84,6.5
2016,"Frank Kaminsky","C",83.75,231.2,83,109.5,NA,9.4
