Player,Position,Draft Year,Draft Age,Class,School,Height,Weight,Wingspan,Standing Reach,RSCI Ranking,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,College OBPM,College DBPM,College BPM,Season3 OBPM,Season3 DBPM,Season3 BPM
Ben McLemore,SG,2013,20.37,FR,Kansas,75.5,189.2,79.75,100.5,41,0.633,0.586,5.0,13.2,9.4,12.6,1.8,2.2,14.2,23.2,530.0,7.2,3.4,10.5,-3.1,-0.7,-3.8
Monte Morris,PG,2017,21.99,SR,Iowa State,73.25,175.2,76.0,96.5,96,0.562,0.53,3.08,10.052999999999999,6.712999999999999,29.787,2.5669999999999997,0.833,9.213,20.093,576.6,6.252999999999999,3.02,9.26,0.4,-0.5,-0.09999999999999998
Chris Boucher,PF,2017,24.44,SR,Oregon,80.0,182.2,88.0,110.5,261,0.604,0.596,10.133,20.2,15.433,3.3,1.2670000000000001,11.8,9.767000000000001,22.6,356.0,4.7669999999999995,4.0,8.8,1.0,1.0,2.0
Jakob Poeltl,C,2016,20.69,SO,Utah,84.25,239.0,86.75,111.5,253,0.653,0.6579999999999999,13.267000000000001,21.4,17.667,11.467,1.067,6.2,15.2,24.133000000000003,499.0,6.233,3.267,9.5,1.3,0.7,2.0
Mike Scott,PF,2012,23.95,SR,Virginia,79.25,240.8,82.75,104.0,130,0.62,0.5710000000000001,9.7,26.2,18.0,10.7,1.4,1.8,12.6,30.9,522.0,7.7,2.6,10.4,0.6,-1.1,-0.5000000000000001
Miles Bridges,SF,2018,20.25,SO,Michigan State,77.25,220.4,81.5,103.5,12,0.575,0.544,5.367000000000001,19.833,13.333,16.1,1.2,3.3,12.367,27.166999999999998,493.0,6.367000000000001,2.867,9.232999999999999,0.2,0.1,0.30000000000000004
Gary Harris,SG,2014,19.78,SO,Michigan State,74.5,204.8,78.75,96.0,18,0.569,0.53,3.9,9.067,6.632999999999999,14.467,3.2,1.3,10.867,25.233,489.667,6.2,3.6,9.767000000000001,1.5,-0.9,0.6
Luke Kennard,SG,2017,20.99,SO,Duke,76.5,196.2,77.25,98.5,21,0.605,0.5539999999999999,3.967,11.633,7.933,12.667,1.633,0.8,8.467,23.1,581.6669999999999,7.0329999999999995,1.8330000000000002,8.8,1.1,-1.4,-0.2999999999999998
Markieff Morris,PF,2011,21.8,JR,Kansas,79.75,240.8,82.75,106.5,52,0.642,0.627,13.9,24.7,19.7,11.0,1.9,4.9,16.2,25.5,485.0,6.7,3.6,10.3,0.8,0.2,1.0
Jalen Brunson,PG,2018,21.8,JR,Villanova,73.0,198.4,76.0,96.0,19,0.633,0.595,1.629,8.686,5.329,25.386,1.7,0.057,13.1,24.8,634.857,6.686,2.171,8.857000000000001,1.5,-0.6,0.9
Norris Cole,PG,2011,22.69,SR,Cleveland State,72.25,174.4,74.25,95.5,171,0.5579999999999999,0.483,2.5,16.5,9.5,37.0,3.7,0.3,12.2,32.1,788.0,6.7,3.5,10.2,-2.8,-0.4,-3.1999999999999997
Kris Dunn,PG,2016,22.27,JR,Providence,75.0,205.0,81.5,100.0,19,0.5429999999999999,0.502,3.3,15.232999999999999,9.167,44.533,4.5,1.633,20.067,28.066999999999997,574.6669999999999,4.7330000000000005,5.367000000000001,10.133,-2.8,0.2,-2.5999999999999996
